Individual,Sex,Population,Colour,Cpgmg,Tpgmg,Ppgmg
89,F,1,D,7.61,4.24,22.560105
90,M,1,W,11.96,5.62,NA
91,M,1,D,14.82,5.35,NA
92,F,1,W,14.43,5.08,34.81566
93,F,1,D,19.57,6.81,16.676235
94,F,1,W,12.55,3.25,13.193275
95,F,1,D,12.61,3.54,13.623715
96,F,1,D,10.21,4.49,18.52082
97,M,1,D,15.99,5.82,NA
98,F,1,D,32.24,4.8,25.20981
99,M,1,D,15.41,5.68,NA
100,M,1,D,13.98,5.45,NA
101,M,1,D,16.32,6.65,NA
102,M,1,D,6.37,3.31,NA
103,M,1,W,8.19,3.81,NA
104,M,1,W,12.29,3.95,NA
105,F,2,W,12.16,4.37,13.173215
106,F,2,W,16.19,4.43,26.32807
107,F,2,W,11.83,3.48,16.401005
108,F,2,W,10.47,3.9,17.560235
109,F,2,W,21.13,5.09,29.29508
110,F,2,W,18.59,4.49,21.517835
111,F,2,W,12.09,3.96,28.490725
112,F,2,W,13,3.83,30.98607
113,F,2,W,12.09,4.65,28.62749
114,F,2,W,13.26,4.48,25.665835
115,F,2,W,12.03,4.32,19.288115
116,F,2,W,17.36,5.01,30.00925
117,F,2,W,18.14,3.56,12.759095
118,F,2,W,15.93,4.65,22.722455
119,F,2,W,12.29,5.01,23.244015
120,F,2,W,17.42,4.38,18.359235
121,F,2,W,13.2,5.3,18.880965
122,F,2,W,14.5,5.01,21.06504
123,F,2,D,11.44,4.04,16.153995
124,M,2,D,11.57,5.68,NA
125,M,2,W,15.28,3.9,NA
126,M,2,W,13.46,5.1,NA
127,M,2,W,13.2,4.76,NA
128,M,2,W,11.25,4.89,NA
129,M,2,W,16.58,7.54,NA
130,M,2,W,13.2,5.07,NA
131,M,2,W,14.04,5.65,NA
132,M,2,W,17.03,5.81,NA
133,M,2,W,17.81,4.88,NA
134,M,2,W,12.48,4.86,NA
135,M,2,W,11.44,4.34,NA
136,M,2,W,40.43,9.13,NA
137,M,2,D,14.3,4.53,NA
138,M,2,W,14.89,4.32,NA
139,M,2,W,16.77,4.4,NA
140,M,2,D,9.95,4.31,NA
141,M,2,W,10.34,4.36,NA
142,M,2,W,20.54,8.06,NA
143,F,1,W,12.81,6.25,26.734285
144,F,1,W,16.51,4.62,28.106525
145,M,1,D,11.12,6.71,NA
146,M,1,D,11.64,4.51,NA
147,M,1,W,18.92,7.57,NA
148,M,2,W,19.89,5.35,NA
149,U,3,,9.69,4.23,NA
150,U,3,,19.37,4.26,NA
151,U,3,,19.76,4.56,NA
152,U,3,,11.31,7.73,NA
153,U,3,,11.25,3.81,NA
154,U,3,,13.85,4.28,NA
155,U,3,,17.62,4.54,NA
156,U,3,,22.82,4.34,NA
157,U,3,,18.14,10.33,NA
158,U,3,,13.52,8.12,NA
159,U,3,,21.58,5.79,NA
160,U,3,,8.91,29.74,NA
161,U,3,,9.17,3.14,NA
162,U,3,,14.17,10.32,NA
163,U,3,,12.09,6.7,NA
164,U,3,,54.47,61.79,NA
165,U,3,,10.4,4.2,NA
166,U,3,,50.31,5.48,NA
167,U,3,,33.74,9.61,NA
168,U,3,,14.76,8.94,NA
169,U,3,,22.3,6.16,NA
170,U,3,,23.21,10.59,NA
171,U,3,,19.24,5.66,NA
172,U,3,,13.07,4.4,NA
173,U,3,,49.14,6.21,NA
174,U,3,,73.19,6.41,NA
175,U,3,,37.05,4.75,NA
176,U,3,,16.45,7.29,NA
177,U,3,,43.81,6.09,NA
178,U,3,,14.89,3.53,NA
